wheelbase,carlength,carwidth,carheight,enginesize,price
95.3,169,65.7,49.6,70,13645
95.3,169,65.7,49.6,80,15645
98.8,177.8,66.5,53.7,122,8845
98.8,177.8,66.5,55.5,122,8495
98.8,177.8,66.5,53.7,122,10595
98.8,177.8,66.5,55.5,122,10245
98.8,177.8,66.5,55.5,122,10795
98.8,177.8,66.5,55.5,122,11245
104.9,175,66.1,54.4,140,18280
104.9,175,66.1,54.4,134,18344
110,190.9,70.3,56.5,183,25552
110,190.9,70.3,58.7,183,28248
106.7,187.5,70.3,54.9,183,28176
115.6,202.6,71.7,56.3,183,31600
115.6,202.6,71.7,56.5,234,34184
96.6,180.3,70.5,50.8,234,35056
120.9,208.1,71.7,56.7,308,40960
112,199.2,72,55.4,304,45400
102.7,178.4,68,54.8,140,16503
93.7,157.3,64.4,50.8,92,5389
93.7,157.3,64.4,50.8,92,6189
93.7,157.3,64.4,50.8,92,6669
93,157.3,63.8,50.8,98,7689
96.3,173,65.4,49.4,110,9959
96.3,173,65.4,49.4,122,8499
95.9,173.2,66.3,50.2,156,12629
95.9,173.2,66.3,50.2,156,14869
95.9,173.2,66.3,50.2,156,14489
96.3,172.4,65.4,51.6,122,6989
96.3,172.4,65.4,51.6,122,8189
96.3,172.4,65.4,51.6,110,9279
96.3,172.4,65.4,51.6,110,9279
94.5,165.3,63.8,54.5,97,5499
94.5,165.3,63.8,54.5,103,7099
94.5,165.3,63.8,54.5,97,6649
94.5,165.3,63.8,54.5,97,6849
94.5,170.2,63.8,53.5,97,7349
94.5,165.3,63.8,54.5,97,7299
94.5,165.6,63.8,53.3,97,7799
94.5,165.3,63.8,54.5,97,7499
94.5,170.2,63.8,53.5,97,7999
95.1,162.4,63.8,53.3,97,8249
97.2,173.4,65.2,54.7,120,8949
97.2,173.4,65.2,54.7,120,9549
100.4,181.7,66.5,55.1,181,13499
100.4,184.6,66.5,56.1,181,14399
100.4,184.6,66.5,55.1,181,13499
91.3,170.7,67.9,49.7,181,17199
91.3,170.7,67.9,49.7,181,19699
99.2,178.5,67.9,49.7,181,18399
107.9,186.7,68.4,56.7,120,11900
107.9,186.7,68.4,56.7,152,13200
114.2,198.9,68.4,58.7,120,12440
114.2,198.9,68.4,58.7,152,13860
107.9,186.7,68.4,56.7,120,15580
107.9,186.7,68.4,56.7,152,16900
114.2,198.9,68.4,56.7,120,16695
114.2,198.9,68.4,58.7,152,17075
107.9,186.7,68.4,56.7,120,16630
107.9,186.7,68.4,56.7,152,17950
108,186.7,68.3,56,134,18150
93.7,157.3,63.8,50.8,90,5572
93.7,157.3,63.8,50.8,98,7957
93.7,157.3,63.8,50.6,90,6229
93.7,167.3,63.8,50.8,90,6692
93.7,167.3,63.8,50.8,98,7609
103.3,174.6,64.6,59.8,122,8921
95.9,173.2,66.3,50.2,156,12764
94.5,168.9,68.3,50.2,151,22018
89.5,168.9,65,51.6,194,32528
89.5,168.9,65,51.6,194,34028
89.5,168.9,65,51.6,194,37028
98.4,175.7,72.3,50.5,203,31400.5
96.1,181.5,66.5,55.2,132,9295
96.1,176.8,66.6,50.5,132,9895
99.1,186.6,66.5,56.1,121,11850
99.1,186.6,66.5,56.1,121,12170
99.1,186.6,66.5,56.1,121,15040
99.1,186.6,66.5,56.1,121,15510
99.1,186.6,66.5,56.1,121,18150
99.1,186.6,66.5,56.1,121,18620
93.7,156.9,63.4,53.7,97,5118
93.7,157.9,63.6,53.7,108,7053
93.3,157.3,63.8,55.7,108,7603
97.2,172,65.4,52.5,108,7126
97.2,172,65.4,52.5,108,7775
97.2,172,65.4,52.5,108,9960
97,172,65.4,54.3,108,9233
97,172,65.4,54.3,108,11259
97,173.5,65.4,53,108,7463
97,173.5,65.4,53,108,10198
96.9,173.6,65.4,54.9,108,8013
96.9,173.6,65.4,54.9,108,11694
95.7,158.7,63.6,54.5,92,5348
95.7,158.7,63.6,54.5,92,6338
95.7,158.7,63.6,54.5,92,6488
95.7,169.7,63.6,59.1,92,6918
95.7,169.7,63.6,59.1,92,7898
95.7,169.7,63.6,59.1,92,8778
95.7,166.3,64.4,53,98,6938
95.7,166.3,64.4,52.8,98,7198
95.7,166.3,64.4,53,110,7898
95.7,166.3,64.4,52.8,110,7788
95.7,166.3,64.4,53,98,7738
95.7,166.3,64.4,52.8,98,8358
95.7,166.3,64.4,52.8,98,9258
94.5,168.7,64,52.6,98,8058
94.5,168.7,64,52.6,98,8238
94.5,168.7,64,52.6,98,9298
94.5,168.7,64,52.6,98,9538
98.4,176.2,65.6,52,146,8449
98.4,176.2,65.6,52,146,9639
98.4,176.2,65.6,52,146,9989
98.4,176.2,65.6,52,146,11199
98.4,176.2,65.6,52,146,11549
98.4,176.2,65.6,53,146,17669
102.4,175.6,66.5,54.9,122,8948
102.4,175.6,66.5,54.9,110,10698
102.4,175.6,66.5,53.9,122,9988
102.4,175.6,66.5,54.9,122,10898
102.4,175.6,66.5,53.9,122,11248
102.9,183.5,67.7,52,171,16558
102.9,183.5,67.7,52,171,15998
104.5,187.8,66.5,54.1,171,15690
104.5,187.8,66.5,54.1,161,15750
97.3,171.7,65.5,55.7,97,7775
97.3,171.7,65.5,55.7,109,7975
97.3,171.7,65.5,55.7,97,7995
97.3,171.7,65.5,55.7,109,8195
97.3,171.7,65.5,55.7,109,8495
97.3,171.7,65.5,55.7,97,9495
97.3,171.7,65.5,55.7,109,9995
94.5,159.3,64.2,55.6,109,11595
94.5,165.7,64,51.4,109,9980
100.4,180.2,66.9,55.1,136,13295
100.4,180.2,66.9,55.1,97,13845
100.4,183.1,66.9,55.1,109,12290
104.3,188.8,67.2,56.2,141,12940
104.3,188.8,67.2,57.5,141,13415
104.3,188.8,67.2,56.2,141,15985
104.3,188.8,67.2,57.5,141,16515
104.3,188.8,67.2,56.2,130,18420
104.3,188.8,67.2,57.5,130,18950
109.1,188.8,68.9,55.5,141,16845
109.1,188.8,68.8,55.5,141,19045
109.1,188.8,68.9,55.5,173,21485
109.1,188.8,68.9,55.5,145,22470
109.1,188.8,68.9,55.5,141,22625
